optimized,actual,running status,op_alias,op_alias_id
profit,DP_OPT_PROFIT_POWERHOUSE_DOLLARS,1,OP4_OPT_PROFIT_POWERHOUSE_DOLLARS,15623
power_export_dollar,DP_OPT_REVENUE_POWER_EXPORT_DOLLARS,1,OP4_OPT_REVENUE_POWER_EXPORT_DOLLARS,15624
total_fuel_within_PH_dollar,DP_OPT_COST_FUEL_WITHIN_POWERHOUSE_DOLLARS,1,OP4_OPT_COST_FUEL_WITHIN_POWERHOUSE_DOLLARS,15625
total_power_export_MW,DP_OPT_POWER_EXPORT_MW,1,OP4_OPT_POWER_EXPORT_MW,15626
GT_C1_NG_Flow_SCFH,DP_OPT_NG_PHC_CONS_C1_GT_SCFH,input_df['DP_OPT_RUNNING_STATUS_GT_C1'].values[0],OP4_OPT_NG_PHC_CONS_C1_GT_SCFH,15627
GT_C2_NG_Flow_SCFH,DP_OPT_NG_PHC_CONS_C2_GT_SCFH,input_df['DP_OPT_RUNNING_STATUS_GT_C2'].values[0],OP4_OPT_NG_PHC_CONS_C2_GT_SCFH,15628
GT_C4_NG_Flow_SCFH,DP_OPT_NG_PHC_CONS_C4_GT_SCFH,input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C4'].values[0],OP4_OPT_NG_PHC_CONS_C4_GT_SCFH,15629
GT_C5_NG_Flow_SCFH,DP_OPT_NG_FLOW_PHC_C5_GT_SCFH,input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C5'].values[0],OP4_OPT_NG_FLOW_PHC_C5_GT_SCFH,15630
GT_R5_NG_Flow_KPPH,DP_OPT_NG_RSC_CONS_TOTAL_R5_GT_KPPH,input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R5'].values[0],OP4_OPT_NG_RSC_CONS_TOTAL_R5_GT_KPPH,15631
GT_R6_NG_Flow_KPPH,DP_OPT_NG_RSC_CONS_TOTAL_R6_GT_KPPH,input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R6'].values[0],OP4_OPT_NG_RSC_CONS_TOTAL_R6_GT_KPPH,15632
FHRSG_C1_NG_SCFH,DP_OPT_NG_FLOW_PHC_C1_HRSG_SCFH,input_df['DP_OPT_RUNNING_STATUS_BLR_C1'].values[0],OP4_OPT_NG_FLOW_PHC_C1_HRSG_SCFH,15633
FHRSG_C2_NG_SCFH,DP_OPT_NG_FLOW_PHC_C2_HRSG_SCFH,input_df['DP_OPT_RUNNING_STATUS_BLR_C2'].values[0],OP4_OPT_NG_FLOW_PHC_C2_HRSG_SCFH,15634
HRSG_R5_Steam_Gen_1900_KLBH,DP_OPT_HPSTMOL_FLOW_RSC_R5_HRSG_KPPH,input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R5'].values[0],OP4_OPT_HPSTMOL_FLOW_RSC_R5_HRSG_KPPH,15635
HRSG_R6_Steam_Gen_1900_KLBH,DP_OPT_HPSTMOL_FLOW_RSC_R6_HRSG_KPPH,input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R6'].values[0],OP4_OPT_HPSTMOL_FLOW_RSC_R6_HRSG_KPPH,15636
STG_C3_Steam_Cons_1250_LBH,DP_OPT_1250STM_PHC_CONS_C3_STG_LBH,input_df['DP_OPT_RUNNING_STATUS_STG_C3'].values[0],OP4_OPT_1250STM_PHC_CONS_C3_STG_LBH,15637
STG_R2_Steam_Cons_600_KLBH,DP_OPT_600STM_RS_CONS_R2_STG_KLBH,input_df['DP_OPT_RUNNING_STATUS_STG_R2'].values[0],OP4_OPT_600STM_RS_CONS_R2_STG_KLBH,15638
STG_R3_Steam_Cons_600_KLBH,DP_OPT_600STM_RS_CONS_R3_STG_KLBH,input_df['DP_OPT_RUNNING_STATUS_STG_R3'].values[0],OP4_OPT_600STM_RS_CONS_R3_STG_KLBH,15639
STG_R4_Steam_Cons_1900_KLBH,DP_OPT_STM_RSC_GEN_R4_TOT_EXHST_KLBH,input_df['DP_OPT_RUNNING_STATUS_STG_R4'].values[0],OP4_OPT_STM_RSC_GEN_R4_TOT_EXHST_KLBH,15640
GT_C1_Power_MW,DP_OPT_PWR_PHC_GEN_C1_GT_MW,input_df['DP_OPT_RUNNING_STATUS_GT_C1'].values[0],OP4_OPT_PWR_PHC_GEN_C1_GT_MW,15641
GT_C2_Power_MW,DP_OPT_PWR_PHC_GEN_C2_GT_MW,input_df['DP_OPT_RUNNING_STATUS_GT_C2'].values[0],OP4_OPT_PWR_PHC_GEN_C2_GT_MW,15642
GT_C4_Power_MW,DP_OPT_PWR_PHC_GEN_C4_GT_MW,input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C4'].values[0],OP4_OPT_PWR_PHC_GEN_C4_GT_MW,15643
GT_C5_Power_MW,DP_OPT_PWR_PHC_GEN_C5_GT_MW,input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C5'].values[0],OP4_OPT_PWR_PHC_GEN_C5_GT_MW,15644
GT_R5_Power_MW,DP_OPT_PWR_RSC_GEN_R5_STG_MW,input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R5'].values[0],OP4_OPT_PWR_RSC_GEN_R5_STG_MW,15645
GT_R6_Power_MW,DP_OPT_PWR_RSC_GEN_R6_STG_MW,input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R6'].values[0],OP4_OPT_PWR_RSC_GEN_R6_STG_MW,15646
STG_C3_Power_MW,DP_OPT_PWR_PHC_GEN_C3_STG_MW,input_df['DP_OPT_RUNNING_STATUS_STG_C3'].values[0],OP4_OPT_PWR_PHC_GEN_C3_STG_MW,15647
STG_R2_Power_MW,DP_OPT_PWR_RS_GEN_R2_STG_MW,input_df['DP_OPT_RUNNING_STATUS_STG_R2'].values[0],OP4_OPT_PWR_RS_GEN_R2_STG_MW,15648
STG_R3_Power_MW,DP_OPT_PWR_RS_GEN_R3_STG_MW,input_df['DP_OPT_RUNNING_STATUS_STG_R3'].values[0],OP4_OPT_PWR_RS_GEN_R3_STG_MW,15649
STG_R4_Power_MW,DP_OPT_PWR_RSC_GEN_R4_STG_MW,input_df['DP_OPT_RUNNING_STATUS_STG_R4'].values[0],OP4_OPT_PWR_RSC_GEN_R4_STG_MW,15650
Power_Gen_MW,DP_OPT_TOTAL_PWR_GEN_MW,1,OP4_OPT_TOTAL_PWR_GEN_MW,15651
Letdown_1900_TO_600_KLBH,DP_OPT_LETDOWN_1900_TO_600_KLBH,1,OP4_OPT_LETDOWN_1900_TO_600_KLBH,15652
BLR_C1_Steam_Gen_1250_LBH,DP_OPT_1250STM_PHC_GEN_C1_BOILER_LBH,input_df['DP_OPT_RUNNING_STATUS_BLR_C1'].values[0],OP4_OPT_1250STM_PHC_GEN_C1_BOILER_LBH,15653
BLR_C2_Steam_Gen_1250_LBH,DP_OPT_1250STM_PHC_GEN_C2_BOILER_LBH,input_df['DP_OPT_RUNNING_STATUS_GT_C2'].values[0],OP4_OPT_1250STM_PHC_GEN_C2_BOILER_LBH,15654
HRSG_C4_Steam_Gen_1250_LBH,DP_OPT_1250STM_PHC_GEN_C4_HRSG_LBH,input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C4'].values[0],OP4_OPT_1250STM_PHC_GEN_C4_HRSG_LBH,15655
HRSG_C5_Steam_Gen_1250_LBH,DP_OPT_1250STM_PHC_GEN_C5_HRSG_LBH,input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C5'].values[0],OP4_OPT_1250STM_PHC_GEN_C5_HRSG_LBH,15656
Letdown_1250_TO_400_LBH,DP_OPT_STM_PHC_GEN_PRDS_1250_400_LBH,1,OP4_OPT_STM_PHC_CONS_PRDS_1250_400_LBH,15657
STG_R4_Steam_Gen_600_KLBH,DP_OPT_600STM_RSC_GEN_R4_STG_KPPH,input_df['DP_OPT_RUNNING_STATUS_STG_R4'].values[0],OP4_OPT_600STM_RSC_GEN_R4_STG_KPPH,15658
STG_C3_Steam_Gen_400_LBH,DP_OPT_400STM_PHC_GEN_C3_STG_LBH,input_df['DP_OPT_RUNNING_STATUS_STG_C3'].values[0],OP4_OPT_400STM_PHC_GEN_C3_STG_LBH,15659
Letdown_From_400_TO_175_LBH,DP_OPT_C_TOTAL_LETDOWN_400_175_LBH,1,OP4_OPT_STM_PHC_CONS_PRDS_400_175_LBH,15660
Letdown_From_175_TO_30_LBH,DP_OPT_C_TOTAL_LETDOWN_175_30_LBH,1,OP4_OPT_175STM_PHC_CONS_PRV1_5_LBH,15661
STEAM_VENTING_LBH,DP_OPT_STEAM_VENTING_LBH,1,OP4_OPT_STEAM_VENTING_LBH,15662
