tag_id,tag_alias
20223,OP4_YPRED_GT_C1
20446,OP4_YPRED_GT_C2
20447,OP4_YPRED_GT_C4
20448,OP4_YPRED_GT_C5
20449,OP4_YPRED_GT_R5
20450,OP4_YPRED_GT_R6
20451,OP4_YPRED_GTB_C1
20452,OP4_YPRED_BLR_C1
20453,OP4_YPRED_GTB_C2
20454,OP4_YPRED_BLR_C2
20455,OP4_YPRED_HRSG_C4
20456,OP4_YPRED_HRSG_C5
20457,OP4_YPRED_HRSG_R5
20458,OP4_YPRED_HRSG_R6
20459,OP4_YPRED_STG_C3
20460,OP4_YPRED_STG_R2
20461,OP4_YPRED_STG_R3
20462,OP4_YPRED_STG_R4
20463,OP4_ERR_YPRED_YACT_GT_C1
20464,OP4_ERR_YPRED_YACT_GT_C2
20465,OP4_ERR_YPRED_YACT_GT_C4
20466,OP4_ERR_YPRED_YACT_GT_C5
20467,OP4_ERR_YPRED_YACT_GT_R5
20468,OP4_ERR_YPRED_YACT_GT_R6
20469,OP4_ERR_YPRED_YACT_GTB_C1
20470,OP4_ERR_YPRED_YACT_BLR_C1
20471,OP4_ERR_YPRED_YACT_GTB_C2
20472,OP4_ERR_YPRED_YACT_BLR_C2
20473,OP4_ERR_YPRED_YACT_HRSG_C4
20474,OP4_ERR_YPRED_YACT_HRSG_C5
20475,OP4_ERR_YPRED_YACT_HRSG_R5
20476,OP4_ERR_YPRED_YACT_HRSG_R6
20477,OP4_ERR_YPRED_YACT_STG_C3
20478,OP4_ERR_YPRED_YACT_STG_R2
20479,OP4_ERR_YPRED_YACT_STG_R3
20480,OP4_ERR_YPRED_YACT_STG_R4
