tag_id,tag_alias
14816,DP_OPT_C_400_Steam_Flow_LBH
14817,DP_OPT_C_30_Steam_Flow_LBH
14818,DP_OPT_C_Power_Within_WL
14819,DP_OPT_C_H2_Export_Linde
14820,DP_OPT_C_1900HEADER_IMBALANCE_KLBH
14821,DP_OPT_C_1250HEADER_IMBALANCE_LBH
14822,DP_OPT_C_600HEADER_IMBALANCE_LBH
14823,DP_OPT_C_400HEADER_IMBALANCE_LBH
14824,DP_OPT_C_175HEADER_IMBALANCE_LBH
14829,DP_OPT_C_30HEADER_IMBALANCE_LBH
14830,DP_OPT_C_30_Steam_Flow_INSIDEPWH_LBH
15384,DP_OPT_NG_HV_BTU_CF
15385,DP_OPT_PWR_PHC_GEN_C1_GT_MW
15386,DP_OPT_AIROUT_TEMP_PHC_C1_GT_F
15387,DP_OPT_AMB_TEMP_F
15388,DP_OPT_RELATIVE_HUMIDITY_PCNT
15389,DP_OPT_EXHST_TEMP_PHC_C1_GT_F
15390,DP_OPT_NG_PHC_CONS_C1_GT_SCFH
15391,DP_OPT_PWR_PHC_GEN_C2_GT_MW
15392,DP_OPT_EXHST_TEMP_PHC_C2_GT_F
15393,DP_OPT_NG_PHC_CONS_C2_GT_SCFH
15394,DP_OPT_PWR_PHC_GEN_C4_GT_MW
15395,DP_OPT_NG_PHC_CONS_C4_GT_SCFH
15396,DP_OPT_PWR_PHC_GEN_C5_GT_MW
15397,DP_OPT_NG_FLOW_PHC_C5_GT_SCFH
15398,DP_OPT_PWR_RSC_GEN_R5_STG_MW
15399,DP_OPT_NG_RSC_CONS_TOTAL_R5_GT_KPPH
15400,DP_OPT_PWR_RSC_GEN_R6_STG_MW
15401,DP_OPT_NG_RSC_CONS_TOTAL_R6_GT_KPPH
15402,DP_OPT_DISC_PRESS_PHC_C1_GT_PSIG
15403,DP_OPT_BFWIN_ENTHALPY_PHC_C1_HRSG_BTULB
15404,DP_OPT_STMOL_FLOW_PHC_C1_HRSG_LBH
15405,DP_OPT_1250_STMOL_ENTHALPY_PHC_C1_HRSG_BTULB
15406,DP_OPT_H2NG_RATIO_PHC_C1_HRSG
15407,DP_OPT_NG_FLOW_PHC_C1_HRSG_SCFH
15408,DP_OPT_AIRIN_TEMP_PHC_C2_GT_F
15409,DP_OPT_DISC_TEMP_PHC_C2_GT_F
15410,DP_OPT_EXHST_TO_WBOX_C2_GT_LBH
15411,DP_OPT_WBOX_TEMP_PHC_C2_HRSG_F
15412,DP_OPT_BFWIN_ENTHALPY_PHC_C2_HRSG_BTULB
15413,DP_OPT_STMOL_FLOW_PHC_C2_HRSG_LBH
15414,DP_OPT_1250_STMOL_ENTHALPY_PHC_C2_HRSG_BTULB
15415,DP_OPT_H2NG_RATIO_PHC_C2_HRSG
15416,DP_OPT_NG_FLOW_PHC_C2_HRSG_SCFH
15417,DP_OPT_AMB_TEMP1_F
15418,DP_OPT_DISC_PRESS_PHC_C4_GT_PSIG
15419,DP_OPT_DAMPOL_TEMP_PHC_C4_GT_F
15420,DP_OPT_1250_STMOL_ENTHALPY_PHC_C4_HRSG_BTULB
15421,DP_OPT_IPSTMOL_FLOW_PHC_C4_HRSG_LBH
