tag,DP_OPT  Tag,eqpt,Equipment,MIN,MAX,description
06D-A7023A,DP_OPT_NG_HV_BTU_CF,No Equipment,1,1000,1100,NATURAL GAS HEATING VALUE in BTU_CF
06C-J1060A.PV,DP_OPT_PWR_PHC_GEN_C1_GT_MW,GT C1, input_df['DP_OPT_RUNNING_STATUS_GT_C1'].values[0],40,70,GT C1 Power Generation in MW
06C-TI2253B.MEAS,DP_OPT_AIROUT_TEMP_PHC_C1_GT_F,GT C1, input_df['DP_OPT_RUNNING_STATUS_GT_C1'].values[0],500,800,GT C1 Comp Turbine Oulet Air Temp
06D-T1013,DP_OPT_AMB_TEMP_F,No Equipment,1,40,110,Ambient Temperature
06D-A1012,DP_OPT_RELATIVE_HUMIDITY_PCNT,No Equipment,1,20,100,Percent Relative Humidity
06C-C1EXH_TEMP_AVG.MEAS,DP_OPT_EXHST_TEMP_PHC_C1_GT_F,GT C1, input_df['DP_OPT_RUNNING_STATUS_GT_C1'].values[0],700,1100,GT C1 Exhaust Gas Temp
06C-F6004.PV,DP_OPT_NG_PHC_CONS_C1_GT_SCFH,GT C1, input_df['DP_OPT_RUNNING_STATUS_GT_C1'].values[0],550000,1000000,Natural Gas Flow to GT C1 in SCFH
06C-J1090A.PV,DP_OPT_PWR_PHC_GEN_C2_GT_MW,GT C2, input_df['DP_OPT_RUNNING_STATUS_GT_C2'].values[0] ,30,70,GT C2 Power Generation in MW
06C-C2EXH_TEMP_AVG.MEAS,DP_OPT_EXHST_TEMP_PHC_C2_GT_F,GT C2, input_df['DP_OPT_RUNNING_STATUS_GT_C2'].values[0] ,600,1100,GT C2 Exhaust Gas Temp
06C-F6014.PV,DP_OPT_NG_PHC_CONS_C2_GT_SCFH,GT C2, input_df['DP_OPT_RUNNING_STATUS_GT_C2'].values[0] ,400000,1000000,Natural Gas Flow to GT C2 in SCFH
06C-J1135A.PV,DP_OPT_PWR_PHC_GEN_C4_GT_MW,GT C4, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C4'].values[0] ,30,90,GT C4 Power Generation in MW
06C-F0111.PV,DP_OPT_NG_PHC_CONS_C4_GT_SCFH,GT C4, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C4'].values[0] ,400000,1000000,Natural Gas Flow to GT C4 in SCFH
06C-J1166A.PV,DP_OPT_PWR_PHC_GEN_C5_GT_MW,GT C5, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C5'].values[0] ,20,90,GT C5 Power Generation in MW
06C-F0112,DP_OPT_NG_FLOW_PHC_C5_GT_SCFH,GT C5, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C5'].values[0] ,400000,1000000,Natural Gas Flow to GT C5 in SCFH
06D-J5504,DP_OPT_PWR_RSC_GEN_R5_STG_MW,GT R5, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R5'].values[0] ,80,200,GT R5 Power Generation in MW
06D-5EKG10CF403C,DP_OPT_NG_RSC_CONS_TOTAL_R5_GT_KPPH,GT R5, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R5'].values[0] ,40,90,Natural Gas Flow to GT R5 in KPPH
06D-J6504,DP_OPT_PWR_RSC_GEN_R6_STG_MW,GT R6, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R6'].values[0] ,80,200,GT R6 Power Generation in MW
06D-6EKG10CF403C,DP_OPT_NG_RSC_CONS_TOTAL_R6_GT_KPPH,GT R6, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_R6'].values[0] ,40,90,Natural Gas Flow to GT R6 in KPPH
06C-PI2546.MEAS,DP_OPT_DISC_PRESS_PHC_C1_GT_PSIG,GT C1, input_df['DP_OPT_RUNNING_STATUS_GT_C1'].values[0],100,140,GT C1 Air Comp Discharge Pres
BFW Inlet Enthalpy C1,DP_OPT_BFWIN_ENTHALPY_PHC_C1_HRSG_BTULB,GT C1, input_df['DP_OPT_RUNNING_STATUS_BLR_C1'].values[0] ,180,230,GT C1 BFW Inlet Specific Enthalpy 
06C-F3008.PV,DP_OPT_1250STM_PHC_GEN_C1_BOILER_LBH,GT C1, input_df['DP_OPT_RUNNING_STATUS_BLR_C1'].values[0] ,100000,750000,GT C1 HP Steam Outlet Flow
1250# Steam Outlet Enthalpy C1,DP_OPT_1250_STMOL_ENTHALPY_PHC_C1_HRSG_BTULB,GT C1, input_df['DP_OPT_RUNNING_STATUS_BLR_C1'].values[0] ,1200,1500,GT C1 HP Steam Outlet Specific Enthalpy 
 H2/NG Ratio C1,DP_OPT_H2NG_RATIO_PHC_C1_HRSG,GT C1, input_df['DP_OPT_RUNNING_STATUS_BLR_C1'].values[0] ,0,20,GT C1 H2 NG Flow Ratio
06C-TI2654A.MEAS,DP_OPT_AIRIN_TEMP_PHC_C2_GT_F,GT C2, input_df['DP_OPT_RUNNING_STATUS_GT_C2'].values[0] ,30,100,GT C2 Comp Turbine Inlet Air Temp
06C-TI2653A.MEAS,DP_OPT_DISC_TEMP_PHC_C2_GT_F,GT C2, input_df['DP_OPT_RUNNING_STATUS_GT_C2'].values[0] ,500,700,GT C2 Comp Turbine Discharge Temp
06C-F5404,DP_OPT_EXHST_TO_WBOX_C2_GT_LBH,GT C2, input_df['DP_OPT_RUNNING_STATUS_GT_C2'].values[0] ,400000,1000000,GT C2 GTE to windbox
06C-T5597A,DP_OPT_WBOX_TEMP_PHC_C2_HRSG_F,GT C2, input_df['DP_OPT_RUNNING_STATUS_GT_C2'].values[0] ,150,1000,GT C2 GTE to windbox temp
06C-F3408.PV,DP_OPT_1250STM_PHC_GEN_C2_BOILER_LBH,GT C2, input_df['DP_OPT_RUNNING_STATUS_BLR_C2'].values[0] ,100000,700000,GT C2 Steam Outlet Flow
1250# Steam Outlet Enthalpy C2,DP_OPT_1250_STMOL_ENTHALPY_PHC_C2_HRSG_BTULB,GT C2, input_df['DP_OPT_RUNNING_STATUS_BLR_C2'].values[0] ,1400,1550,GT C2 Steam Outlet Specific Enthalpy 
H2/NG Ratio C2,DP_OPT_H2NG_RATIO_PHC_C2_HRSG,GT C2, input_df['DP_OPT_RUNNING_STATUS_BLR_C2'].values[0] ,0,20,GT C2 H2 NG Flow Ratio
06C-F5400,DP_OPT_NG_FLOW_PHC_C2_HRSG_SCFH,GT C2, input_df['DP_OPT_RUNNING_STATUS_BLR_C2'].values[0] ,150000,750000,GT C2 Total Fuel NG Flow
06C-TI2254A.MEAS,DP_OPT_AMB_TEMP1_F,No Equipment,1,40,110,Ambient Temperature at Comp Turbine Inlet 
06C-T0600,DP_OPT_DAMPOL_TEMP_PHC_C4_GT_F,GT C4, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C4'].values[0] ,950,1200,GT C4 Damper Outlet Temp
1250# Steam Outlet Enthalpy C4,DP_OPT_1250_STMOL_ENTHALPY_PHC_C4_HRSG_BTULB,GT C4, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C4'].values[0] ,1400,1500,HRSG C4 HP Steam Outlet Specific Enthalpy 
06C-F0120.PV,DP_OPT_IPSTMOL_FLOW_PHC_C4_HRSG_LBH,GT C4, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C4'].values[0] ,20000,70000,HRSG C4 175 Steam Outlet Flow
06C-F0121.PV,DP_OPT_HPSTMOL_FLOW_PHC_C4_HRSG_LBH,GT C4, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C4'].values[0] ,150000,300000,HRSG C4 HP Steam Outlet Flow
06C-TI2354A.MEAS,DP_OPT_AIRIN_TEMP_PHC_C5_GT_F,GT C5, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C5'].values[0] ,40,110,GT C5 Comp Turbine Inlet Air Temp
06C-T0615,DP_OPT_DAMPER_OUT_TEMP_C5_GT_F,GT C5, input_df['DP_OPT_RUNNING_STATUS_GT_HRSG_C5'].values[0] ,640,1100,GT C5 Damper Outlet Temp
