DP_OPT_Tag,RUN_STATUS
DP_OPT_NG_PHC_CONS_C1_GT_SCFH,DP_OPT_RUNNING_STATUS_GT_C1
DP_OPT_NG_PHC_CONS_C2_GT_SCFH,DP_OPT_RUNNING_STATUS_GT_C2
DP_OPT_NG_PHC_CONS_C4_GT_SCFH,DP_OPT_RUNNING_STATUS_GT_HRSG_C4
DP_OPT_NG_FLOW_PHC_C5_GT_SCFH,DP_OPT_RUNNING_STATUS_GT_HRSG_C5
DP_OPT_NG_RSC_CONS_TOTAL_R5_GT_KPPH,DP_OPT_RUNNING_STATUS_GT_HRSG_R5
DP_OPT_NG_RSC_CONS_TOTAL_R6_GT_KPPH,DP_OPT_RUNNING_STATUS_GT_HRSG_R6
DP_OPT_NG_PHC_GEN_C1_BOILER_SCFH,DP_OPT_RUNNING_STATUS_BLR_C1
DP_OPT_NG_PHC_GEN_C2_BOILER_SCFH,DP_OPT_RUNNING_STATUS_BLR_C2
DP_OPT_1250STM_PHC_CONS_C3_STG_LBH,DP_OPT_RUNNING_STATUS_STG_C3
DP_OPT_600STM_RS_CONS_R2_STG_KLBH,DP_OPT_RUNNING_STATUS_STG_R2
DP_OPT_600STM_RS_CONS_R3_STG_KLBH,DP_OPT_RUNNING_STATUS_STG_R3
DP_OPT_STM_RSC_GEN_R4_TOT_EXHST_KLBH,DP_OPT_RUNNING_STATUS_STG_R4
DP_OPT_PWR_PHC_GEN_C1_GT_MW,DP_OPT_RUNNING_STATUS_GT_C1
DP_OPT_PWR_PHC_GEN_C2_GT_MW,DP_OPT_RUNNING_STATUS_GT_C2
DP_OPT_PWR_PHC_GEN_C4_GT_MW,DP_OPT_RUNNING_STATUS_GT_HRSG_C4
DP_OPT_PWR_PHC_GEN_C5_GT_MW,DP_OPT_RUNNING_STATUS_GT_HRSG_C5
DP_OPT_PWR_RSC_GEN_R5_STG_MW,DP_OPT_RUNNING_STATUS_GT_HRSG_R5
DP_OPT_PWR_RSC_GEN_R6_STG_MW,DP_OPT_RUNNING_STATUS_GT_HRSG_R6
DP_OPT_PWR_PHC_GEN_C3_STG_MW,DP_OPT_RUNNING_STATUS_STG_C3
DP_OPT_PWR_RS_GEN_R2_STG_MW,DP_OPT_RUNNING_STATUS_STG_R2
DP_OPT_PWR_RS_GEN_R3_STG_MW,DP_OPT_RUNNING_STATUS_STG_R3
DP_OPT_PWR_RSC_GEN_R4_STG_MW,DP_OPT_RUNNING_STATUS_STG_R4
DP_OPT_1250STM_PHC_GEN_C1_BOILER_LBH,DP_OPT_RUNNING_STATUS_BLR_C1
DP_OPT_1250STM_PHC_GEN_C2_BOILER_LBH,DP_OPT_RUNNING_STATUS_BLR_C2
