tag_alias,tag_id
OP9_WIF_PROFIT_POWERHOUSE_DOLLARS,17611
OP9_WIF_REVENUE_POWER_EXPORT_DOLLARS,17612
OP9_WIF_COST_FUEL_WITHIN_POWERHOUSE_DOLLARS,17613
OP9_WIF_POWER_EXPORT_MW,17614
OP9_WIF_NG_PHC_CONS_C1_GT_SCFH,17615
OP9_WIF_NG_PHC_CONS_C2_GT_SCFH,17616
OP9_WIF_NG_PHC_CONS_C4_GT_SCFH,17617
OP9_WIF_NG_FLOW_PHC_C5_GT_SCFH,17618
OP9_WIF_NG_RSC_CONS_TOTAL_R5_GT_KPPH,17619
OP9_WIF_NG_RSC_CONS_TOTAL_R6_GT_KPPH,17620
OP9_WIF_NG_FLOW_PHC_C1_HRSG_SCFH,17621
OP9_WIF_NG_FLOW_PHC_C2_HRSG_SCFH,17622
OP9_WIF_HPSTMOL_FLOW_RSC_R5_HRSG_KPPH,17623
OP9_WIF_HPSTMOL_FLOW_RSC_R6_HRSG_KPPH,17624
OP9_WIF_1250STM_PHC_CONS_C3_STG_LBH,17625
OP9_WIF_600STM_RS_CONS_R2_STG_KLBH,17626
OP9_WIF_600STM_RS_CONS_R3_STG_KLBH,17627
OP9_WIF_STM_RSC_GEN_R4_TOT_EXHST_KLBH,17628
OP9_WIF_PWR_PHC_GEN_C1_GT_MW,17629
OP9_WIF_PWR_PHC_GEN_C2_GT_MW,17630
OP9_WIF_PWR_PHC_GEN_C4_GT_MW,17631
OP9_WIF_PWR_PHC_GEN_C5_GT_MW,17632
OP9_WIF_PWR_RSC_GEN_R5_STG_MW,17633
OP9_WIF_PWR_RSC_GEN_R6_STG_MW,17634
OP9_WIF_PWR_PHC_GEN_C3_STG_MW,17635
OP9_WIF_PWR_RS_GEN_R2_STG_MW,17636
OP9_WIF_PWR_RS_GEN_R3_STG_MW,17637
OP9_WIF_PWR_RSC_GEN_R4_STG_MW,17638
OP9_WIF_TOTAL_PWR_GEN_MW,17639
OP9_WIF_LETDOWN_1900_TO_600_KLBH,17640
OP9_WIF_1250STM_PHC_GEN_C1_BOILER_LBH,17641
OP9_WIF_1250STM_PHC_GEN_C2_BOILER_LBH,17642
OP9_WIF_1250STM_PHC_GEN_C4_HRSG_LBH,17643
OP9_WIF_1250STM_PHC_GEN_C5_HRSG_LBH,17644
OP9_WIF_STM_PHC_CONS_PRDS_1250_400_LBH,17645
OP9_WIF_600STM_RSC_GEN_R4_STG_KPPH,17646
OP9_WIF_400STM_PHC_GEN_C3_STG_LBH,17647
OP9_WIF_STM_PHC_CONS_PRDS_400_175_LBH,17648
OP9_WIF_175STM_PHC_CONS_PRV1_5_LBH,17649
OP9_WIF_STEAM_VENTING_LBH,17650
OP9_WIF_STEAM_VENTING_DOLLARS,18795
OP9_WIF_POTENTIAL_OPPORTUNITY_DOLLARS,17651
OP9_WIF_TOTAL_REVENUE_POWERHOUSE_DOLLARS,17652
OP9_WIF_DEVIATION_REVENUE_PRCNT,17653
OP9_WIF_TOTAL_COST_POWERHOUSE_DOLLARS,17654
OP9_WIF_TOTAL_NG_CONS_MMSCFD,17655
OP9_WIF_DEVIATION_COST_PRCNT,17656
OP9_WIF_LETDOWN_TOTAL_FROM_400_TO_175_LBH,17657
OP9_WIF_LETDOWN_TOTAL_FROM_175_TO_30_LBH,17658
OP9_WIF_HEADER_IMBALANCE_1900_KLBH,17659
OP9_WIF_HEADER_IMBALANCE_1250_LBH,17660
OP9_WIF_HEADER_IMBALANCE_600_KLBH,17661
OP9_WIF_HEADER_IMBALANCE_400_LBH,17662
OP9_WIF_HEADER_IMBALANCE_175_LBH,17663
OP9_WIF_HEADER_IMBALANCE_30_LBH,17664
OP9_WIF_EQPT_IMBALANCE_STG_R4_KLBH,17665
OP9_WIF_EQPT_IMBALANCE_STG_C3_LBH,17666
OP9_WIF_1900_ACTUAL_TOTAL_GEN_KLBH,17667
OP9_WIF_1900_ACTUAL_TOTAL_CONS_KLBH,17668
OP9_WIF_1900_OPTIMIZED_TOTAL_GEN_KLBH,17669
OP9_WIF_1900_OPTIMIZED_TOTAL_CONS_KLBH,17670
OP9_WIF_600_ACTUAL_TOTAL_GEN_KLBH,17671
OP9_WIF_600_ACTUAL_TOTAL_CONS_KLBH,17672
OP9_WIF_600_OPTIMIZED_TOTAL_GEN_KLBH,17673
OP9_WIF_600_OPTIMIZED_TOTAL_CONS_KLBH,17674
OP9_WIF_1250_ACTUAL_TOTAL_GEN_LBH,17675
OP9_WIF_1250_ACTUAL_TOTAL_CONS_LBH,17676
OP9_WIF_1250_OPTIMIZED_TOTAL_GEN_LBH,17677
OP9_WIF_1250_OPTIMIZED_TOTAL_CONS_LBH,17678
OP9_WIF_400_ACTUAL_TOTAL_GEN_LBH,17679
OP9_WIF_400_ACTUAL_TOTAL_CONS_LBH,17680
OP9_WIF_400_OPTIMIZED_TOTAL_GEN_LBH,17681
OP9_WIF_400_OPTIMIZED_TOTAL_CONS_LBH,17682
OP9_WIF_175_ACTUAL_TOTAL_GEN_LBH,17683
OP9_WIF_175_ACTUAL_TOTAL_CONS_LBH,17684
OP9_WIF_175_OPTIMIZED_TOTAL_GEN_LBH,17685
OP9_WIF_175_OPTIMIZED_TOTAL_CONS_LBH,17686
OP9_WIF_30_ACTUAL_TOTAL_GEN_LBH,17687
OP9_WIF_30_ACTUAL_TOTAL_CONS_LBH,17688
OP9_WIF_30_OPTIMIZED_TOTAL_GEN_LBH,17689
OP9_WIF_30_OPTIMIZED_TOTAL_CONS_LBH,17690
OP9_HENRY_HUB_NG_PRICE_DOLLARPMMBTU,18295
OP9_AXIALL_LMP_PRICE_DOLLARPMWH,18395
OP9_RELATIVE_HUMIDITY_PCNT,18396
OP9_AMB_TEMP_F,18397
OP9_NG_HV_BTU_CF,18398
OP9_POWER_TO_CIRCUITS_MW,18399
OP9_400_Steam_Flow_LBH,18400
OP9_175STM_PHC_CONS_15_TO_PRCS_LBH,18401
OP9_30_Steam_Flow_LBH,18402
OP9_WIF_OPTIMIZER_CODE_STATUS,17691
