Equipment,comment,tag_1,opt_1,alias_1,uom_1,tag_2,opt_2,alias_2,uom_2
GT C1,NG Flow,06C-F6004.PV,GT_C1_NG_Flow_SCFH,DP_OPT_NG_PHC_CONS_C1_GT_SCFH,SCFH,06C-J1060A.PV,,DP_OPT_PWR_PHC_GEN_C1_GT_MW,MW
Boiler C1,NG Flow,06C-F5000.PV + 06C-F5225.PV,FHRSG_C1_NG_SCFH,DP_OPT_NG_FLOW_PHC_C1_HRSG_SCFH,SCFH,06C-F3008.PV,,DP_OPT_STMOL_FLOW_PHC_C1_HRSG_LBH,LBH
GT C2,NG Flow,06C-F6014.PV,GT_C2_NG_Flow_SCFH,DP_OPT_NG_PHC_CONS_C2_GT_SCFH,SCFH,06C-J1090A.PV,,DP_OPT_PWR_PHC_GEN_C2_GT_MW,MW
Boiler C2,NG Flow,06C-C2HPGAS.PV + 06C-F5625.PV,FHRSG_C2_NG_SCFH,DP_OPT_NG_FLOW_PHC_C2_HRSG_SCFH,SCFH,06C-F3408.PV,,DP_OPT_STMOL_FLOW_PHC_C2_HRSG_LBH,LBH
GT C4,NG Flow,06C-F0111.PV,GT_C4_NG_Flow_SCFH,DP_OPT_NG_PHC_CONS_C4_GT_SCFH,SCFH,06C-J1135A.PV,,DP_OPT_PWR_PHC_GEN_C4_GT_MW,MW
GT C5,NG Flow,06C-F0112,GT_C5_NG_Flow_SCFH,DP_OPT_NG_FLOW_PHC_C5_GT_SCFH,SCFH,06C-J1166A.PV,,DP_OPT_PWR_PHC_GEN_C5_GT_MW,MW
GT R5,NG Flow,06D-5EKG10CF403C,GT_R5_NG_Flow_KPPH,DP_OPT_NG_RSC_CONS_TOTAL_R5_GT_KPPH,KLBH,06D-J5504,,DP_OPT_PWR_RSC_GEN_R5_STG_MW,MW
GT R6,NG Flow,06D-6EKG10CF403C,GT_R6_NG_Flow_KPPH,DP_OPT_NG_RSC_CONS_TOTAL_R6_GT_KPPH,KLBH,06D-J6504,,DP_OPT_PWR_RSC_GEN_R6_STG_MW,MW
STG C3,1250# Steam Flow,06C-FX3618,STG_C3_Steam_Cons_1250_LBH,DP_OPT_1250STM_PHC_CONS_C3_STG_LBH,LBH,06C-J1104A.PV,,DP_OPT_PWR_PHC_GEN_C3_STG_MW,MW
STG R2,600# Steam Flow,06B-FAHL2001A,STG_R2_Steam_Cons_600_KLBH,DP_OPT_600STM_RS_CONS_R2_STG_KLBH,KLBH,06C-J1345A,,DP_OPT_PWR_RS_GEN_R2_STG_MW,MW
STG R3,600# Steam Flow,06B-FAHL3708A,STG_R3_Steam_Cons_600_KLBH,DP_OPT_600STM_RS_CONS_R3_STG_KLBH,KLBH,06B-J1078A,,DP_OPT_PWR_RS_GEN_R3_STG_MW,MW
STG R4,1900# Steam Flow,06D-R4THROTTLE,STG_R4_Steam_Cons_1900_KLBH,DP_OPT_STM_RSC_GEN_R4_TOT_EXHST_KLBH,KLBH,06D-J4503,,DP_OPT_PWR_RSC_GEN_R4_STG_MW,MW
