alias,Equipment list
DP_OPT_TRANSITION_STATE_GT_C1,GT C1
DP_OPT_TRANSITION_STATE_BLR_C1,BOILER C1
DP_OPT_TRANSITION_STATE_GT_C2,GT C2
DP_OPT_TRANSITION_STATE_BLR_C2,BOILER C2
DP_OPT_TRANSITION_STATE_GT_HRSG_C4,GT HRSG C4
DP_OPT_TRANSITION_STATE_GT_HRSG_C5,GT HRSG C5
DP_OPT_TRANSITION_STATE_GT_HRSG_R5,GT HRSG R5
DP_OPT_TRANSITION_STATE_GT_HRSG_R6,GT HRSG R6
DP_OPT_TRANSITION_STATE_STG_C3,STG C3
DP_OPT_TRANSITION_STATE_STG_R4,STG R4
DP_OPT_TRANSITION_STATE_STG_R2,STG R2
DP_OPT_TRANSITION_STATE_STG_R3,STG R3
DP_OPT_TRANSFORMER_T1_STATUS,
DP_OPT_TRANSFORMER_T2_STATUS,
