,optimized,actual value,optimized value
0,profit,37790.69383195416,48425.976361
1,power_export_dollar,18931.488850469046,33327.150466
2,total_fuel_within_PH_dollar,27027.128228113448,30787.507314
3,total_power_export_MW,266.4634948730469,337.38242881
4,GT_C1_NG_Flow_SCFH,670792.0770833333,752023.69776
5,GT_C2_NG_Flow_SCFH,669620.0437500001,746895.70461
6,GT_C4_NG_Flow_SCFH,914502.7604166666,989870.88322
7,GT_C5_NG_Flow_SCFH,919998.8614583333,1000000.0
8,GT_R5_NG_Flow_KPPH,77.61166674296061,85.0
9,GT_R6_NG_Flow_KPPH,78.0066665649414,85.0
10,FHRSG_C1_NG_SCFH,133020.00625,434652.27027
11,FHRSG_C2_NG_SCFH,155354.44140625,176288.2884
12,HRSG_R5_Steam_Gen_1900_KLBH,431.5792622884114,458.28980259
13,HRSG_R6_Steam_Gen_1900_KLBH,433.62886301676434,451.83822206
14,STG_C3_Steam_Cons_1250_LBH,863459.849218749,1360194.3208
15,STG_R2_Steam_Cons_600_KLBH,0.0,0.0
16,STG_R3_Steam_Cons_600_KLBH,5.5639448165893555,0.0
17,STG_R4_Steam_Cons_1900_KLBH,1010.885323079427,773.85143713
18,GT_C1_Power_MW,55.45950425465902,65.0
19,GT_C2_Power_MW,51.23972415924072,65.0
20,GT_C4_Power_MW,78.59829088846843,85.0
21,GT_C5_Power_MW,71.90378532409669,80.365988713
22,GT_R5_Power_MW,167.2812723795573,184.15094056
23,GT_R6_Power_MW,166.5941345214844,185.04973203
24,STG_C3_Power_MW,29.67948849995931,48.577139704
25,STG_R2_Power_MW,0.0,0.0
26,STG_R3_Power_MW,0.0,0.0
27,STG_R4_Power_MW,62.79296735127767,41.242518653
28,Power_Gen_MW,683.5491673787435,754.38632179
29,BLR_C1_Steam_Gen_1250_LBH,128605.22994791665,750000.0
30,BLR_C2_Steam_Gen_1250_LBH,431857.4666666666,516018.59651
31,HRSG_C4_Steam_Gen_1250_LBH,225134.46119791665,238358.56202
32,HRSG_C5_Steam_Gen_1250_LBH,244558.49010416667,257630.48134
33,Letdown_1250_TO_400_LBH,0.0,235117.52789
34,STG_R4_Steam_Gen_600_KLBH,610.4717249552409,1000.0
35,STG_C3_Steam_Gen_400_LBH,253856.78463541667,750000.0
36,Letdown_1250_TO_400_LBH,0.0,235117.52789
37,Letdown_From_400_TO_175_LBH,0.0,731260.75075
38,Letdown_From_175_TO_30_LBH,8155.823811848958,471287.8618
