,variable,min,max,opt_value
0,profit,-100000,100000,31687.254698
1,power_export_dollar,0,1000000,25313.555036
2,total_fuel_within_PH_dollar,0,1000000,20419.738757
3,total_power_export_MW,0,360,317.03713196
4,GT_C1_NG_Flow_SCFH,400000,1000000,7.7337115823e-36
5,GT_C2_NG_Flow_SCFH,400000,1000000,753836.93166
6,GT_C4_NG_Flow_SCFH,400000,1000000,0.0
7,GT_C5_NG_Flow_SCFH,400000,1000000,1000000.0
8,GT_R5_NG_Flow_KPPH,40,90,85.0
9,GT_R6_NG_Flow_KPPH,40,90,85.0
10,FHRSG_C1_NG_SCFH,0,1000000,374051.9627
11,FHRSG_C2_NG_SCFH,0,1000000,573371.59568
12,HRSG_R5_Steam_Gen_1900_KLBH,200,600,473.71169784
13,HRSG_R6_Steam_Gen_1900_KLBH,200,600,455.79814858
14,STG_C3_Steam_Cons_1250_LBH,600000,1400000,1088639.7941
15,STG_R2_Steam_Cons_600_KLBH,10,350,1.0822322513e-41
16,STG_R3_Steam_Cons_600_KLBH,10,350,0.0
17,STG_R4_Steam_Cons_1900_KLBH,450,1100,926.63038143
18,GT_C1_Power_MW,40,70,0.0
19,GT_C2_Power_MW,30,70,65.0
20,GT_C4_Power_MW,30,90,0.0
21,GT_C5_Power_MW,20,90,80.408780807
22,GT_R5_Power_MW,80,200,183.75032633
23,GT_R6_Power_MW,80,200,185.04973203
24,STG_C3_Power_MW,40,70,32.966731057
25,STG_R2_Power_MW,40,70,0.0
26,STG_R3_Power_MW,40,70,1.4162559151e-40
27,STG_R4_Power_MW,40,70,76.610126098
28,Power_Gen_MW,0,800,623.78569697
29,Letdown_1900_TO_600_KLBH,0,1000000,0.0
30,BLR_C1_Steam_Gen_1250_LBH,30000,750000,251670.95111
31,BLR_C2_Steam_Gen_1250_LBH,30000,700000,750000.0
32,HRSG_C4_Steam_Gen_1250_LBH,150000,300000,0.0
33,HRSG_C5_Steam_Gen_1250_LBH,100000,260000,260985.64556
34,Letdown_1250_TO_400_LBH,0,1400000,5.7993873366e-06
35,STG_R4_Steam_Gen_600_KLBH,100000,1000,301.62934001
36,STG_C3_Steam_Gen_400_LBH,100000,700000,578933.82245
37,Letdown_1250_TO_400_LBH,0,1400000,5.7993873366e-06
38,Letdown_From_400_TO_175_LBH,0,1300000,422453.29579
39,Letdown_From_400_TO_175_LBH,0,1300000,422453.29579
40,Letdown_From_175_TO_30_LBH,0,700000,380152.89073
41,STEAM_VENTING_LBH,0,1000000,200000.0
