,optimized,actual,op_alias,op_alias_id,actual_value,optimized_value
0,profit,DP_OPT_PROFIT_POWERHOUSE_DOLLARS,OP4_OPT_PROFIT_POWERHOUSE_DOLLARS,15623,24670.687701433788,30051.040153
1,power_export_dollar,DP_OPT_REVENUE_POWER_EXPORT_DOLLARS,OP4_OPT_REVENUE_POWER_EXPORT_DOLLARS,15624,12793.682632973907,19365.016212
2,total_fuel_within_PH_dollar,DP_OPT_COST_FUEL_WITHIN_POWERHOUSE_DOLLARS,OP4_OPT_COST_FUEL_WITHIN_POWERHOUSE_DOLLARS,15625,17271.23501254953,18462.21614
3,total_power_export_MW,DP_OPT_POWER_EXPORT_MW,OP4_OPT_POWER_EXPORT_MW,15626,234.95188166666668,278.20218952
4,GT_C1_NG_Flow_SCFH,DP_OPT_NG_PHC_CONS_C1_GT_SCFH,OP4_OPT_NG_PHC_CONS_C1_GT_SCFH,15627,681553.3866666666,750996.83285
5,GT_C2_NG_Flow_SCFH,DP_OPT_NG_PHC_CONS_C2_GT_SCFH,OP4_OPT_NG_PHC_CONS_C2_GT_SCFH,15628,709871.0583333332,738091.47828
6,GT_C4_NG_Flow_SCFH,DP_OPT_NG_PHC_CONS_C4_GT_SCFH,OP4_OPT_NG_PHC_CONS_C4_GT_SCFH,15629,903889.9333333332,989872.57333
7,GT_C5_NG_Flow_SCFH,DP_OPT_NG_FLOW_PHC_C5_GT_SCFH,OP4_OPT_NG_FLOW_PHC_C5_GT_SCFH,15630,0.0,0.0
8,GT_R5_NG_Flow_KPPH,DP_OPT_NG_RSC_CONS_TOTAL_R5_GT_KPPH,OP4_OPT_NG_RSC_CONS_TOTAL_R5_GT_KPPH,15631,81.04,81.475783703
9,GT_R6_NG_Flow_KPPH,DP_OPT_NG_RSC_CONS_TOTAL_R6_GT_KPPH,OP4_OPT_NG_RSC_CONS_TOTAL_R6_GT_KPPH,15632,80.58333333333333,85.0
10,FHRSG_C1_NG_SCFH,DP_OPT_NG_FLOW_PHC_C1_HRSG_SCFH,OP4_OPT_NG_FLOW_PHC_C1_HRSG_SCFH,15633,111964.42,462972.83376
